--------- beginning of main
08-16 17:55:14.169 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_background","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"has_pending_call":false,"has_active_call":false}'
08-16 17:55:14.277 I/ReactNativeJS(12290): '[DEEP_LINK_TRACE]', '{"source":"active_initial_url","outcome":"empty_url"}'
08-16 17:55:14.329 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_background","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"status":200,"ok":true}'
08-16 17:55:14.550 I/ReactNativeJS(12290): '[WORLDLINGCO_TUNING]', '{"event":"remote_loaded","updated_at":"2026-08-14T06:06:31Z","version":6}'
08-16 17:55:15.214 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"has_pending_call":false,"has_active_call":false}'
08-16 17:55:15.355 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"status":200,"ok":true}'
08-16 17:55:17.729 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"has_pending_call":false,"has_active_call":false}'
08-16 17:55:17.879 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"status":200,"ok":true}'
08-16 17:55:20.288 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"has_pending_call":false,"has_active_call":false}'
08-16 17:55:20.453 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"status":200,"ok":true}'
08-16 17:55:22.768 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"has_pending_call":false,"has_active_call":false}'
08-16 17:55:22.940 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"status":200,"ok":true}'
08-16 17:55:25.271 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"has_pending_call":false,"has_active_call":false}'
08-16 17:55:25.437 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"status":200,"ok":true}'
08-16 17:55:27.782 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"has_pending_call":false,"has_active_call":false}'
08-16 17:55:27.976 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"status":200,"ok":true}'
08-16 17:55:30.284 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"has_pending_call":false,"has_active_call":false}'
08-16 17:55:30.464 I/ReactNativeJS(12290): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:172:eyJhbG...rKZV3k","user_id":4,"status":200,"ok":true}'
